#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1.5%	150000	-1005611.6127705406	311.0777856448973	34	13:53:30
1.6%	155000	-1004594.4482141659	309.2628664764505	33.9	13:56:30
1.6%	160000	-1003895.3261477742	310.2391368719415	33.8	13:58:45
1.6%	165000	-1002322.9076014077	310.4794156535203	33.6	14:01:47
1.7%	170000	-1006073.5270915683	309.4328845459254	33.6	14:03:03
1.8%	175000	-1005030.9280500626	308.64871071001437	33.5	14:04:15
1.8%	180000	-1006038.7736759316	311.2555020047829	33.5	14:05:09
1.9%	185000	-1002861.3654435202	310.5271628014019	33.4	14:06:34
1.9%	190000	-1003410.5901047988	310.5809000461483	33.3	14:07:10
1.9%	195000	-1004644.6523299534	311.62830372419563	33.3	14:07:11
2.0%	200000	-1002845.361060882	311.89499254680675	33.3	14:07:20
2.0%	205000	-1004729.421514133	311.38075683690965	33.3	14:07:06
2.1%	210000	-1000685.1184080346	310.8517310062513	33.3	14:06:58
2.1%	215000	-1002773.7169744931	311.8891109594329	33.3	14:06:44
2.2%	220000	-1004332.6902650353	309.70744304581984	33.3	14:06:16
2.2%	225000	-1005056.7833950659	310.33261563319724	33.3	14:06:13
2.3%	230000	-1003291.202559243	313.095301343707	33.3	14:05:53
2.4%	235000	-1002960.9805047158	310.2027011228147	33.3	14:05:36
2.4%	240000	-1003375.5846728096	310.77005691013443	33.2	14:05:34
2.5%	245000	-1002624.8909266144	313.9166585396855	33.2	14:05:35
2.5%	250000	-1004525.6249315068	311.0498920737024	33.2	14:05:37
2.5%	255000	-1000734.9367590491	310.49335171071533	33.2	14:05:29
2.6%	260000	-1003348.2205294417	312.0353127497514	33.2	14:05:24
2.6%	265000	-1005231.6323726494	314.4841013967957	33.2	14:05:13
2.7%	270000	-1004606.0075900145	312.0429514674873	33.2	14:05:02
2.8%	275000	-1003939.2775791232	312.28623239789124	33.1	14:04:53
2.8%	280000	-1002979.7231021505	309.4527751634026	33	14:09:16
2.9%	285000	-1004169.0012447182	311.021790876414	33	14:08:50
2.9%	290000	-1004468.7590673454	312.2180549066989	32.9	14:09:00
3.0%	295000	-1003522.5170427533	312.34600395062694	33	14:08:04
3.0%	300000	-1003623.8847227143	311.1784091513813	33	14:07:38
3.0%	305000	-1003327.7725399202	310.49114035117896	32.9	14:07:26
3.1%	310000	-1004603.5608499255	311.58302030430394	32.9	14:07:14
3.1%	315000	-1004358.9873755444	310.15892536166103	33	14:06:29
3.2%	320000	-1003899.6220381344	313.08293584821075	32.9	14:06:12
3.2%	325000	-1003477.4297479372	311.48742416396976	32.9	14:06:23
3.3%	330000	-1003965.1506448844	309.8447400155507	32.9	14:06:35
3.4%	335000	-1003794.999130223	312.6273223290252	32.9	14:06:43
3.4%	340000	-1004131.5485632541	311.27285865259	32.8	14:07:01
3.5%	345000	-1004049.1419656044	309.8025679563934	32.8	14:07:01
3.5%	350000	-1005146.515830419	310.53775459194446	32.8	14:06:18
3.5%	355000	-1005028.2050743885	310.2110183132255	32.8	14:06:20
3.6%	360000	-1005009.4069873905	309.4262068840546	32.8	14:06:19
3.6%	365000	-1003936.8323137797	309.08920875746895	32.8	14:06:09
3.7%	370000	-1003243.2627897905	310.6789078894635	32.8	14:05:55
3.8%	375000	-1004521.184753865	311.2059564611529	32.8	14:05:47
3.8%	380000	-1004576.5484682703	306.4155687929581	32.8	14:05:12
3.9%	385000	-1005661.3305593356	309.07198182793167	32.8	14:04:23
3.9%	390000	-1005803.0529713538	312.56804957730407	32.8	14:03:52
4.0%	395000	-1005540.5917615155	310.4881142686176	32.8	14:03:57
4.0%	400000	-1002541.9082064722	309.3351433108944	32.7	14:04:35
4.0%	405000	-1003595.9800904784	311.0312395225569	32.7	14:05:16
4.1%	410000	-1002506.8490094757	309.94708975644545	32.7	14:05:54
4.2%	415000	-1003400.9779110616	310.7759083569629	32.6	14:06:22
4.2%	420000	-1003730.053068635	312.46018722734465	32.6	14:06:25
4.2%	425000	-1004746.4273731252	310.80875478896655	32.6	14:06:06
4.3%	430000	-1003449.9586018315	311.24426859279953	32.6	14:05:40
4.3%	435000	-1004406.934335852	310.8210717833515	32.6	14:05:00
4.4%	440000	-1004533.6803808231	311.20591584059554	32.7	14:02:53
4.5%	445000	-1003935.4348462662	313.2443657525852	32.7	14:01:29
4.5%	450000	-1004927.1127399188	311.74112365074444	32.7	14:00:52
4.5%	455000	-1007043.1247140598	310.3380005497298	32.7	13:59:44
4.6%	460000	-1005241.3516932698	308.4146401226692	32.8	13:58:03
4.7%	465000	-1003820.1219796911	308.4025669429238	32.8	13:57:14
4.7%	470000	-1005260.3231594944	312.7639553086045	32.8	13:56:29
4.8%	475000	-1003659.4992693281	308.24598986349883	32.8	13:55:14
4.8%	480000	-1003526.7687989185	309.4601600897717	32.9	13:52:39
4.8%	485000	-1004235.5126324454	311.37131561761817	33	13:49:37
4.9%	490000	-1002951.0278117955	311.8224622016379	33.1	13:46:38
5.0%	495000	-1004011.9348193211	313.0112580499519	33.2	13:43:42
5.0%	500000	-1003960.6643451005	310.9722383980415	33.3	13:40:53
5.0%	505000	-1003989.943359958	309.5924323108309	33.4	13:38:07
5.1%	510000	-1002615.4226689059	309.5535691946688	33.5	13:35:25
5.2%	515000	-1004652.7430697242	310.238483555948	33.6	13:32:50
5.2%	520000	-1003319.9169771364	313.5577464431026	33.7	13:30:57
5.2%	525000	-1005161.0928999344	311.010559499106	33.7	13:28:38
5.3%	530000	-1004117.7680547424	312.800864307019	33.8	13:26:25
5.3%	535000	-1003714.9005998541	312.4731465187104	33.9	13:24:02
5.4%	540000	-1003939.3723387942	308.8575658700559	34	13:21:35
5.5%	545000	-1004669.6974030063	309.7105105693025	34.1	13:19:07
5.5%	550000	-1004034.9104555324	312.4613958853269	34.2	13:16:43
5.5%	555000	-1005769.7141183056	309.6612472375566	34.2	13:14:49
5.6%	560000	-1002426.957022843	309.41079242200306	34.3	13:12:33
5.7%	565000	-1004585.752561192	309.94126055609553	34.3	13:11:16
5.7%	570000	-1004959.011318461	310.6126314145974	34.4	13:09:28
5.8%	575000	-1005010.17058603	309.65858238248177	34.5	13:07:38
5.8%	580000	-1003626.8779631155	310.8326403995518	34.5	13:05:31
5.8%	585000	-1001657.5001028813	310.74567827428143	34.6	13:03:24
5.9%	590000	-1005191.5229176823	310.7315526632115	34.6	13:02:41
6.0%	595000	-1004193.4383392837	309.94526135201136	34.6	13:02:55
6.0%	600000	-1006824.9543750668	308.57554759140163	34.6	13:03:10
6.0%	605000	-1006367.8811653759	309.1462382541035	34.5	13:03:22
6.1%	610000	-1005914.4162168112	312.6371382688228	34.5	13:03:25
6.2%	615000	-1005377.9290930014	310.40726620463045	34.5	13:03:26
6.2%	620000	-1004927.2052115165	310.8339489544396	34.5	13:03:35
6.2%	625000	-1005509.1496130908	309.7889997552926	34.4	13:03:53
6.3%	630000	-1005211.902994927	310.7133660341154	34.4	13:03:33
6.3%	635000	-1004567.2257852694	310.2692203452614	34.4	13:02:54
6.4%	640000	-1001823.903956716	311.4024507411436	34.4	13:02:54
6.5%	645000	-1003846.0677806325	312.2982238393741	34.4	13:03:03
6.5%	650000	-1005468.4317902783	311.76488870987794	34.4	13:03:09
6.5%	655000	-1004571.8229703056	311.3859799426407	34.4	13:03:22
6.6%	660000	-1004218.1285038525	312.808827668619	34.3	13:03:22
6.7%	665000	-1003594.1697627781	309.8104861978373	34.3	13:03:20
6.7%	670000	-1004914.9385063415	310.550563825959	34.3	13:03:20
6.8%	675000	-1004758.6883588247	309.5363072565121	34.3	13:03:15
6.8%	680000	-1004700.9430264588	310.8621015605369	34.3	13:03:18
6.8%	685000	-1004707.2788951611	311.60989952040364	34.2	13:03:32
6.9%	690000	-1003918.0462911036	310.489540774785	34.2	13:03:42
7.0%	695000	-1006389.5314724101	309.37386445155084	34.2	13:03:50
7.0%	700000	-1004100.6135450108	311.08012922205324	34.2	13:03:55
7.0%	705000	-1006127.8907913417	310.81112758984915	34.1	13:03:57
7.1%	710000	-1004134.2553371396	310.198094914335	34.1	13:03:58
7.2%	715000	-1006667.8689525416	310.0873927438626	34.1	13:04:09
7.2%	720000	-1004047.7310153805	311.30430826129526	34.1	13:04:25
7.2%	725000	-1004522.2664688202	311.76055218208205	34.1	13:02:58
7.3%	730000	-1003219.737695354	311.51534743645783	34.2	13:01:19
7.3%	735000	-1005443.3316663019	309.41560812561477	34.2	12:59:44
7.4%	740000	-1004501.073669021	311.28275463049465	34.3	12:58:06
7.5%	745000	-1003053.9764114292	309.94776856737354	34.3	12:56:29
7.5%	750000	-1004918.7497350043	309.8503816587221	34.4	12:54:56
7.5%	755000	-1005128.9952722704	312.1677444976018	34.4	12:53:28
7.6%	760000	-1004854.1674787588	310.4468083000714	34.5	12:52:00
7.7%	765000	-1005870.1505225487	311.2483145420274	34.5	12:50:30
7.7%	770000	-1003658.380711983	309.5144928868131	34.6	12:49:00
7.8%	775000	-1004707.4715705169	311.2868708703304	34.6	12:47:33
7.8%	780000	-1003399.4772370625	311.20857405387727	34.7	12:46:05
7.8%	785000	-1003016.0630928073	311.04508082092707	34.7	12:44:37
7.9%	790000	-1004612.7833191678	310.094706805731	34.8	12:43:09
8.0%	795000	-1004802.5138437301	312.53872315435586	34.8	12:41:39
8.0%	800000	-1002343.1640023775	309.97769059789994	34.9	12:40:07
8.1%	805000	-1004544.0695078531	309.1105683042063	34.9	12:38:34
8.1%	810000	-1005117.7300519552	309.9203511892533	35	12:37:04
8.2%	815000	-1003419.3568424145	312.151749654689	35	12:35:40
8.2%	820000	-1005676.8087372379	311.4723424949921	35	12:34:23
8.2%	825000	-1003863.1281539174	311.14615667688906	35.1	12:33:00
8.3%	830000	-1006677.3980766879	311.15902135288843	35.1	12:31:41
8.3%	835000	-1005298.5457986882	309.2297464650474	35.2	12:30:23
8.4%	840000	-1003752.0185197797	308.2108723311096	35.2	12:29:07
8.4%	845000	-1003720.1347789913	310.68463144397333	35.3	12:27:49
8.5%	850000	-1003247.633812408	309.5850371877947	35.3	12:26:28
8.6%	855000	-1004195.506447996	310.91011869102897	35.3	12:25:10
8.6%	860000	-1003583.0646228492	311.855746047297	35.4	12:23:51
8.7%	865000	-1003899.902708183	309.7122366455216	35.4	12:22:32
8.7%	870000	-1003766.8652996738	310.10805583502935	35.5	12:21:14
8.8%	875000	-1004841.9188332269	312.3217628291344	35.5	12:19:57
8.8%	880000	-1003491.1926404908	312.47966557001877	35.6	12:18:42
8.8%	885000	-1005504.2458929513	312.41919360616384	35.6	12:17:25
8.9%	890000	-1004008.6161758406	312.0761289964758	35.6	12:16:09
8.9%	895000	-1004297.3420146611	308.6687476714722	35.7	12:14:56
9.0%	900000	-1004228.2301779594	309.64423856463884	35.7	12:13:43
9.1%	905000	-1003135.5177847641	309.80030834820707	35.8	12:12:32
9.1%	910000	-1005483.2252900451	309.95579281664203	35.8	12:11:21
9.2%	915000	-1003170.8095566975	311.1713938204528	35.8	12:10:10
9.2%	920000	-1002577.7008571271	309.6598975798266	35.9	12:08:54
9.2%	925000	-1004017.3980012154	308.87477007884564	35.9	12:07:40
9.3%	930000	-1004537.4187087025	310.56678601808784	36	12:06:30
9.3%	935000	-1004868.8650028538	312.48111899309487	36	12:05:18
9.4%	940000	-1004686.8736286387	311.22750569697615	36	12:04:09
9.4%	945000	-1004265.749590233	311.78825663641743	36.1	12:03:02
9.5%	950000	-1006450.983989872	311.7401301301698	36.1	12:01:56
9.6%	955000	-1003172.880207954	310.5815621788601	36.1	12:00:48
9.6%	960000	-1004893.6755036563	310.4619963438128	36.2	11:59:45
9.7%	965000	-1003913.5283312928	309.1221623695739	36.2	11:58:42
9.7%	970000	-1005135.8407064769	311.20670943404974	36.2	11:57:37
9.8%	975000	-1004727.3969421797	310.2187853886194	36.3	11:56:34
9.8%	980000	-1005315.9024823736	310.7945311278881	36.3	11:55:32
9.8%	985000	-1006386.9346521581	309.9608688869254	36.3	11:54:32
9.9%	990000	-1004841.2841931125	309.1455762419883	36.4	11:53:29
9.9%	995000	-1005829.6098969886	311.31361183045135	36.4	11:52:25
10.0%	1000000	-1003821.9282070026	310.07783508054894	36.4	11:51:22
10.1%	1005000	-1004320.4697388737	311.8779383379438	36.5	11:50:19
10.1%	1010000	-1004975.1462172708	310.65988697629473	36.5	11:49:19
10.2%	1015000	-1005291.2874140395	311.61591793701876	36.5	11:48:16
10.2%	1020000	-1002276.867657966	309.1273872525193	36.6	11:47:12
10.2%	1025000	-1007250.5678757504	309.8501935513244	36.6	11:46:09
10.3%	1030000	-1005366.9466567952	311.33390368353736	36.6	11:45:07
10.3%	1035000	-1002769.0598403411	311.8995962500383	36.7	11:44:08
10.4%	1040000	-1005389.0809347434	310.5643917496441	36.7	11:43:07
10.4%	1045000	-1004111.3492673505	311.20730879757406	36.7	11:42:07
10.5%	1050000	-1002535.2825695453	310.13949367233477	36.8	11:41:10
10.6%	1055000	-1005204.0187671324	310.38518930908896	36.7	11:41:10
10.6%	1060000	-1004713.6049108431	313.03257906476995	36.8	11:40:16
10.7%	1065000	-1004255.7801931333	310.23524262437826	36.8	11:39:18
10.7%	1070000	-1003682.0792097682	310.18337958263214	36.8	11:38:22
10.8%	1075000	-1004618.9434880763	309.4245594964359	36.9	11:37:26
10.8%	1080000	-1002366.9112633457	310.9040391416798	36.9	11:36:29
10.8%	1085000	-1004029.7906127367	310.2048672399106	36.9	11:35:42
10.9%	1090000	-1004290.0276005408	307.9691463907615	36.9	11:35:40
10.9%	1095000	-1004755.7336058328	310.86910397801574	36.9	11:34:47
11.0%	1100000	-1001927.5703377984	310.7421115970933	36.9	11:33:52
11.1%	1105000	-1005711.9456797615	310.91849830112	37	11:33:00
11.1%	1110000	-1005209.4645201005	309.55906930928836	37	11:32:07
11.2%	1115000	-1006393.7481809575	310.2389764917674	37	11:31:14
11.2%	1120000	-1004598.907602476	311.70819809499926	37	11:30:20
11.2%	1125000	-1005791.6619179323	311.473126659855	37.1	11:29:28
11.3%	1130000	-1005346.0148881571	309.41336378992236	37.1	11:28:38
11.3%	1135000	-1004140.1608589701	309.1397796686811	37.1	11:28:13
11.4%	1140000	-1002629.4632780105	310.06402141210174	37.1	11:27:50
11.4%	1145000	-1004734.1859978698	312.3496943073421	37.1	11:27:01
11.5%	1150000	-1003987.5034849299	309.7616505864429	37.1	11:26:12
11.6%	1155000	-1005382.4991739327	310.5888426421975	37.2	11:25:24
11.6%	1160000	-1007367.2058613356	309.7253377673019	37.2	11:24:39
11.7%	1165000	-1004024.755682094	309.66104860902254	37.2	11:23:55
11.7%	1170000	-1005957.5558802225	308.9129321402983	37.2	11:23:09
11.8%	1175000	-1004630.442354166	310.21682713212454	37.2	11:22:20
11.8%	1180000	-1004167.4403850138	309.489204913204	37.3	11:21:32
11.8%	1185000	-1002736.1209878568	311.2739256453771	37.3	11:20:43
11.9%	1190000	-1005345.1624886487	310.05429385599643	37.3	11:19:55
11.9%	1195000	-1004181.2585000526	311.11694322272064	37.3	11:19:06
12.0%	1200000	-1003300.4164119465	310.83312352642196	37.4	11:18:16
12.1%	1205000	-1005153.4903507866	310.3822932355563	37.4	11:17:29
12.1%	1210000	-1004721.7295263642	310.3575564424969	37.4	11:16:42
12.2%	1215000	-1004611.8842998529	308.68319080007933	37.4	11:15:55
12.2%	1220000	-1002457.158192696	310.218106623271	37.5	11:15:07
12.2%	1225000	-1004056.7184478333	312.5580444687335	37.5	11:14:20
12.3%	1230000	-1006278.1199253574	311.40136754949714	37.5	11:13:33
12.3%	1235000	-1003611.8594804732	310.4799504788337	37.5	11:12:46
12.4%	1240000	-1004845.6599545348	310.35727728108793	37.5	11:12:00
12.4%	1245000	-1002676.1195150148	309.0832695114684	37.6	11:11:15
12.5%	1250000	-1004661.3833998749	308.82848829911416	37.6	11:10:26
12.6%	1255000	-1005372.223043249	309.81522471751873	37.6	11:09:42
12.6%	1260000	-1003960.96498001	309.68073858315626	37.6	11:08:56
12.7%	1265000	-1004684.211864667	310.3059248270373	37.7	11:08:08
12.7%	1270000	-1005054.1085550971	311.985422499755	37.7	11:07:23
12.8%	1275000	-1004396.4436726989	312.60153293103014	37.7	11:06:39
12.8%	1280000	-1005396.7307316465	310.9565947096934	37.7	11:05:54
12.8%	1285000	-1004384.3033691887	309.4554433065543	37.7	11:05:08
12.9%	1290000	-1005234.7912509162	308.0105104168078	37.8	11:04:22
12.9%	1295000	-1002578.550964796	308.8174411505682	37.8	11:03:37
13.0%	1300000	-1003179.1517514596	309.5051391873357	37.8	11:02:52
13.1%	1305000	-1005261.2733040797	310.2567498318652	37.8	11:02:10
13.1%	1310000	-1002426.7039159723	310.80470266831907	37.8	11:02:11
13.2%	1315000	-1004227.2821127689	310.44062924214876	37.8	11:02:10
13.2%	1320000	-1004787.4529986382	311.32681678163266	37.7	11:02:13
13.2%	1325000	-1002921.4153978163	311.243693362243	37.7	11:02:16
13.3%	1330000	-1003569.521632012	309.449378281997	37.7	11:02:20
13.3%	1335000	-1005693.506326748	310.0867202051883	37.7	11:02:22
13.4%	1340000	-1004381.681511662	310.8514115406951	37.7	11:02:23
13.4%	1345000	-1005750.307388043	312.3667413357249	37.6	11:02:21
13.5%	1350000	-1003464.5331314104	308.36875115085115	37.6	11:02:22
13.6%	1355000	-1006038.4972671615	312.3004187263629	37.6	11:02:21
13.6%	1360000	-1004469.5300918091	309.46077427943146	37.6	11:02:19
13.7%	1365000	-1005203.8125724941	310.65123416401667	37.5	11:02:18
13.7%	1370000	-1004675.4574100086	309.90389227689684	37.5	11:02:16
13.8%	1375000	-1004995.6804091576	312.92528152357664	37.5	11:02:15
13.8%	1380000	-1002463.3412300413	310.8608731327212	37.5	11:02:12
13.8%	1385000	-1003166.9070609398	308.86129217702467	37.5	11:02:10
13.9%	1390000	-1005248.2967322292	309.695571047938	37.5	11:02:07
13.9%	1395000	-1002890.2584936889	311.40300529414543	37.4	11:02:03
14.0%	1400000	-1004127.8205307955	311.7499386424679	37.4	11:01:57
14.1%	1405000	-1004206.0630891342	310.63018648254933	37.4	11:01:51
14.1%	1410000	-1005400.6666185027	310.5668101406818	37.4	11:01:11
14.2%	1415000	-1003680.763567931	311.04172159219075	37.4	11:00:27
14.2%	1420000	-1004721.7812573947	308.96883567695403	37.5	10:59:44
14.2%	1425000	-1004162.1403028257	311.8502379231933	37.5	10:58:59
14.3%	1430000	-1006905.4311102666	311.22037723261343	37.5	10:58:14
14.3%	1435000	-1005207.1330816755	309.9964868317396	37.5	10:57:28
14.4%	1440000	-1004669.8336056266	308.5785735241907	37.5	10:56:43
14.4%	1445000	-1003491.80644524	311.84772103818125	37.6	10:55:58
14.5%	1450000	-1005157.4657218345	311.36207253845265	37.6	10:55:14
14.6%	1455000	-1002419.182731363	311.3315960541429	37.6	10:55:09
14.6%	1460000	-1004962.3391070459	309.5039323290895	37.5	10:55:09
14.7%	1465000	-1004934.0845265705	309.34017854936445	37.5	10:55:12
14.7%	1470000	-1003361.2596832793	309.35007082055057	37.5	10:55:15
14.8%	1475000	-1002826.7615781045	311.2425420539579	37.5	10:55:16
14.8%	1480000	-1006225.072700656	310.5129719876607	37.5	10:54:47
14.8%	1485000	-1003664.346871824	310.83118233085077	37.5	10:54:29
14.9%	1490000	-1005391.7751151435	311.29165599979825	37.5	10:54:08
14.9%	1495000	-1005184.9065033793	311.2836770372669	37.5	10:53:57
15.0%	1500000	-1002656.8086058851	312.3383565167611	37.4	10:53:55
15.1%	1505000	-1004314.3285348052	312.13096518534365	37.4	10:53:55
15.1%	1510000	-1005314.5880175196	310.3983770430562	37.4	10:53:53
15.2%	1515000	-1003933.229747273	312.1681572075536	37.4	10:53:52
15.2%	1520000	-1004511.4024218088	309.527195514469	37.3	10:53:55
15.2%	1525000	-1004405.1594204698	309.1556396328316	37.3	10:53:35
15.3%	1530000	-1003893.3044876372	309.6955731752666	37.4	10:52:49
15.3%	1535000	-1004691.7090309327	311.9737040837605	37.4	10:52:03
15.4%	1540000	-1004873.6816831008	309.32223798895154	37.4	10:51:24
15.4%	1545000	-1004955.0930747464	310.0920251343501	37.4	10:50:39
15.5%	1550000	-1004657.0406475747	309.9647426025888	37.4	10:49:53
15.6%	1555000	-1004305.3537644222	307.8325430293776	37.5	10:49:07
15.6%	1560000	-1003689.46470562	309.2050303879448	37.5	10:48:49
15.7%	1565000	-1006183.7346430616	311.6113319808335	37.4	10:48:48
15.7%	1570000	-1003603.2056044918	308.7575732101643	37.4	10:48:42
15.8%	1575000	-1003619.6360898642	310.8341886885212	37.4	10:48:36
15.8%	1580000	-1004283.0788073502	310.8410055332822	37.4	10:48:35
15.8%	1585000	-1003217.603737725	309.1030830929487	37.4	10:48:35
15.9%	1590000	-1004125.7328277854	311.5768333484999	37.3	10:48:50
15.9%	1595000	-1006288.0223409636	309.635073456344	37.3	10:48:58
16.0%	1600000	-1004502.7580626532	308.4140793607878	37.3	10:49:05
16.1%	1605000	-1005334.2104623523	309.97220217511745	37.2	10:49:09
16.1%	1610000	-1004497.8276360175	311.9464958966913	37.2	10:49:07
16.1%	1615000	-1002732.49762649	311.19054580127226	37.2	10:49:11
16.2%	1620000	-1004992.3992604027	309.6577590359487	37.2	10:49:17
16.2%	1625000	-1004026.3185775196	310.7859540521538	37.1	10:49:24
16.3%	1630000	-1002361.969933222	308.8511260825911	37.1	10:49:26
16.4%	1635000	-1002930.2521183575	311.5070729889281	37.1	10:49:34
16.4%	1640000	-1004865.1796401227	311.11877845240525	37.1	10:49:27
16.4%	1645000	-1005295.3546122098	311.2019495400545	37.1	10:49:27
16.5%	1650000	-1004247.9607284013	312.697746409084	37	10:49:29
16.6%	1655000	-1007309.8940196345	309.6810266964964	37	10:49:26
16.6%	1660000	-1004565.3934202613	311.3067465576383	37	10:48:57
16.6%	1665000	-1004218.3162136553	310.44064142544863	37	10:48:56
16.7%	1670000	-1002538.160677027	309.05416495072956	37	10:48:47
16.8%	1675000	-1004243.4398565479	311.90525180153554	36.9	10:48:54
16.8%	1680000	-1004852.3626569696	309.02892362423455	36.9	10:48:59
16.9%	1685000	-1004046.982124825	308.68399364106625	36.9	10:49:02
16.9%	1690000	-1003610.7505462542	311.07087464551864	36.9	10:49:07
16.9%	1695000	-1005364.4573378824	311.5730767962806	36.8	10:49:09
17.0%	1700000	-1003866.703900083	311.3895864640738	36.8	10:49:10
17.1%	1705000	-1006403.1864750413	311.6973029068663	36.8	10:49:00
17.1%	1710000	-1003430.3389549237	311.53413382524695	36.8	10:48:23
17.1%	1715000	-1004895.6737654144	313.0652548383933	36.8	10:48:12
17.2%	1720000	-1005834.6784101529	311.17390230407335	36.8	10:48:02
17.2%	1725000	-1002633.183794898	312.5308075494896	36.8	10:47:54
17.3%	1730000	-1003806.9788274728	311.5562779263705	36.8	10:47:51
17.4%	1735000	-1004392.6476693274	309.406457676458	36.7	10:47:50
17.4%	1740000	-1005389.8971599741	309.9239448316824	36.7	10:47:46
17.4%	1745000	-1005691.2319368161	310.5906557982569	36.7	10:47:39
17.5%	1750000	-1004786.4737419216	309.9417683411525	36.7	10:47:33
17.6%	1755000	-1005962.3262285171	311.8337439617699	36.7	10:47:32
17.6%	1760000	-1002421.081624087	310.56522439796476	36.7	10:47:24
17.6%	1765000	-1003159.350285517	310.4370784359512	36.6	10:47:21
17.7%	1770000	-1005607.1242255056	311.4999253319507	36.6	10:47:17
17.8%	1775000	-1006042.8832191853	309.444141167336	36.6	10:46:56
17.8%	1780000	-1005644.0168236652	309.83096026110525	36.6	10:46:27
17.9%	1785000	-1004217.7640744178	310.64208885453905	36.6	10:45:59
17.9%	1790000	-1004983.0965856332	311.253116489828	36.6	10:45:20
17.9%	1795000	-1006374.7665832117	311.4347413013801	36.6	10:45:10
18.0%	1800000	-1005328.459943342	311.6691040131765	36.6	10:44:26
18.1%	1805000	-1005823.0828670068	310.52643508137623	36.6	10:44:02
18.1%	1810000	-1003905.4011098007	311.730502617345	36.7	10:43:18
18.1%	1815000	-1005308.9067402612	310.36986152468285	36.7	10:42:34
18.2%	1820000	-1007279.9535745261	310.0018096351226	36.7	10:42:01
18.2%	1825000	-1004251.1419908218	308.8747701136258	36.7	10:41:22
18.3%	1830000	-1004700.728121277	310.6628700738396	36.7	10:40:37
18.4%	1835000	-1003440.7200387651	309.0491138755835	36.7	10:40:13
18.4%	1840000	-1003500.3480222393	309.3348136885483	36.7	10:40:10
18.4%	1845000	-1003352.2598456899	311.8759026802657	36.7	10:39:43
18.5%	1850000	-1002791.5855191741	310.37379288414917	36.7	10:39:27
18.6%	1855000	-1005530.1952844029	310.95004263115806	36.7	10:39:12
18.6%	1860000	-1005882.055718651	311.3560179059739	36.7	10:38:57
18.6%	1865000	-1005850.8641469181	311.0437060572955	36.7	10:38:44
18.7%	1870000	-1004746.5854055071	309.8406900697589	36.7	10:38:15
18.8%	1875000	-1003711.8414051607	310.83172086225414	36.7	10:37:55
18.8%	1880000	-1005748.9925746787	311.03029906893175	36.7	10:37:31
18.9%	1885000	-1003894.0998322051	310.00511384796505	36.7	10:37:12
18.9%	1890000	-1004706.8162776874	308.4294951324206	36.7	10:37:00
18.9%	1895000	-1004599.5468755122	311.38837626886743	36.7	10:36:42
19.0%	1900000	-1006348.257441136	309.1875335271914	36.7	10:36:24
19.1%	1905000	-1005417.0522500714	311.83826789990536	36.7	10:36:02
19.1%	1910000	-1005406.1488646986	311.2021454157101	36.7	10:35:40
19.1%	1915000	-1004131.0552273458	310.88307257735363	36.6	10:35:34
19.2%	1920000	-1006398.0897063958	310.3915253054586	36.6	10:35:34
